ID,cognate,lang,cognateID,borrowed,pgmc_forms
178,four,en,50483,,*fedwar-
179,vier,nl,50493,,*fedwar-
180,fjäll,sv,1714,,*fella-
181,Fell,de,4957,,*fella-
182,far,en,31639,,*ferrai
183,veer,nl,4811,,*feϸrō-
184,Feder,de,4811,,*feϸrō-
185,feather,en,4811,,*feϸrō-
186,vijand,nl,4907,,*fi(j)ēn-
187,Feind,de,4907,,*fi(j)ēn-
188,fünf,de,32676,,*fimfe
189,five,en,32699,,*fimfe
190,vijf,nl,32692,,*fimfe
191,finger,en,5341,,*fingra-
192,vinger,nl,5341,,*fingra-
193,Finger,de,5341,,*fingra-
194,vinden,nl,31926,,*finϸan-
195,finden,de,31926,,*finϸan-
196,find,en,31926,,*finϸan-
197,fish,en,31954,,*fiska-
198,Fisch,de,5452,,*fiska-
199,flach,de,32005,,*flaka-
200,flat,en,31984,,*flatja-
201,fly,en,32157,,*fleugan-
202,vliegen,nl,32157,,*fleugan-
203,fliegen,de,32157,,*fleugan-
204,vlieg,nl,5544,,*fleugōn-
205,Fliege,de,5544,,*fleugōn-
206,fly,en,32157,,*fleugōn-
207,fließen,de,32119,,*fleutan-
208,flow,en,32119,,*flōan-
209,floor,en,6062,,*flōra-
210,vloer,nl,6062,,*flōra-
211,flock,en,9207,,*fleugan-
212,feed,en,32932,,*fōdjan-
213,fire,en,5229,,*fōr-
214,vuur,nl,5229,,*fōr-
215,Feuer,de,5229,,*fōr-
216,foot,en,6025,,*fōt-
217,voet,nl,6025,,*fōt-
218,Fuß,de,6025,,*fōt-
219,freeze,en,33035,,*freusan-
220,frieren,de,32452,,*freusan-
221,friend,en,5883,,*fri(j)ōnd-
222,vriend,nl,5883,,*fri(j)ōnd-
223,Freund,de,5883,,*fri(j)ōnd-
224,former,en,29870,,*fruman-
225,vorst,nl,5950,,*freusan-
226,Frost,de,5950,,*freusan-
227,frost,en,5950,,*freusan-
228,vogel,nl,22290,,*flug-la-
229,Vogel,de,22290,,*flug-la-
230,fox,en,6147,,*fuhsa-
231,Fuchs,de,6147,,*fuhsa-
232,vuil,nl,43707,,*fūla-
233,faul,de,31447,,*fūla-
234,full,en,50583,,*fulla-
235,vol,nl,50583,,*fulla-
236,voll,de,50583,,*fulla-
237,vochtig,nl,31875,,*funhtu-
238,feucht,de,31875,,*funhtu-
239,fürchten,de,32846,,*furhtō-
240,geest,nl,6703,,*gaista-
241,Geist,de,6703,,*gaista-
242,gans,nl,6345,,*gans-
243,Gans,de,6345,,*gans-
244,goose,en,6345,,*gans-
245,gast,nl,6350,,*gasti-
246,Gast,de,6350,,*gasti-
247,gate,en,21783,,*gata-
248,give,en,42619,,*geban-
249,geven,nl,32950,,*geban-
250,geben,de,32950,,*geban-
251,yellow,en,33184,,*gelwa-
252,gelb,de,33212,,*gelwa-
253,gå,da,33082,,*gēn-
254,go,en,33082,,*gēn-
255,gaan,nl,33098,,*gēn-
256,gehen,de,33082,,*gēn-
257,gestern,de,33656,,*gestra-
258,yesterday,en,33656,,*gestra-
259,gisteren,nl,33656,,*gestra-
260,get,en,26917,,*getan-
261,gieten,nl,33716,,*geutan-
262,gießen,de,33716,,*geutan-
263,glad,nl,33823,,*glōan-
264,glatt,de,33823,,*glōan-
265,gler,is,7711,,*glasa-
266,glass,en,7718,,*glasa-
267,Glas,de,7718,,*glasa-
268,good,en,34171,,*gōda-
269,goed,nl,34171,,*gōda-
270,gut,de,34171,,*gōda-
271,graf,nl,7888,,*graba-
272,Grab,de,7888,,*graba-
273,graven,nl,33907,,*graban-
274,graben,de,33907,,*graban-
275,grab,en,40140,,*grap[pb]ōn-
276,grass,en,7945,,*grasa-
277,Gras,de,7945,,*grasa-
278,groot,nl,34030,,*greutan-
279,groß,de,34030,,*greutan-
280,grau,de,33949,,*grēwa-
281,grey,en,33949,,*grēwa-
282,grind,en,43178,,*grindan-
283,grijpen,nl,30631,,*grīpan-
284,grow,en,50907,,*grōan-
285,Grube,de,8242,,*grōbō-
286,groen,nl,34079,,*grōan-
287,grün,de,34079,,*grōan-
288,ground,en,2136,,*grumϸu-
289,grond,nl,2136,,*grumϸu-
290,Grund,de,8295,,*grumϸu-
291,god,en,7834,,*guda-
292,goud,nl,7777,,*gulϸa-
293,Gold,de,7798,,*gulϸa-
294,heffen,nl,34467,,*hafjan-
295,heben,de,34467,,*hafjan-
296,heet,nl,34510,,*haita-
297,heiß,de,34510,,*haita-
298,Haken,de,8526,,*hakan-
299,half,en,8545,,*halba-
300,hals,nl,8591,,*halsa-
301,Hals,de,8591,,*halsa-
302,hand,en,40997,,*hinϸan-
303,Hand,de,8663,,*hinϸan-
304,hängen,de,34331,,*hanhan-
305,heel,en,5083,,*hanhila(n)-
306,hiel,nl,5083,,*hanhila(n)-
307,herfst,nl,9187,,*harbista-
308,Herbst,de,9187,,*harbista-
309,hard,en,34342,,*hardu-
310,head,en,11439,,*ha(u)beda-
311,hoofd,nl,11434,,*ha(u)beda-
312,hay,en,9320,,*hauja-
313,hooi,nl,9320,,*hauja-
314,Heu,de,9320,,*hauja-
315,heap,en,8897,,*haupa-
316,hoop,nl,8897,,*haupa-
317,hear,en,49968,,*hauzjan-
318,horen,nl,35355,,*hauzjan-
319,hören,de,35355,,*hauzjan-
320,houwen,nl,34398,,*hawwan-
321,hauen,de,34398,,*hawwan-
322,hemel,nl,9448,,*hemina-
323,Himmel,de,9448,,*hemina-
324,hair,en,8415,,*hēra-
325,haar,nl,8415,,*hēra-
326,Haar,de,8415,,*hēra-
327,herd,en,35611,,*herdō-
328,Herde,de,9222,,*herdō-
329,heart,en,9276,,*hertōn-
330,hart,nl,9276,,*hertōn-
331,Herz,de,9276,,*hertōn-
