ID,cognate,lang,cognateID,borrowed,pgmc_forms
1575,dag,nl,21217,,
1576,morgen,nl,38976,,
1577,middag,nl,14193,,
1578,aften,da,31,,
1579,natt,sv,14869,,
1580,uke,nb,23250,,
1581,måned,da,14296,,
1582,år,da,10089,,
1583,vår,sv,5959,,
1584,sommer,da,19433,,
1585,høst,nb,9189,,
1586,vinter,da,23217,,
1587,oktober,nl,15662,,
1588,mandag,da,14394,,
1589,tirsdag,da,3252,,
1590,onsdag,da,14289,,
1591,torsdag,da,3372,,
1592,fredag,da,5726,,
1593,lørdag,da,17516,,
1594,søndag,da,19543,,
1595,stor,da,34055,,
1596,liten,sv,36270,,
1597,lang,nl,37421,,
1598,kort,nl,37247,,
1599,bred,da,28449,,
1600,smal,nl,43436,,
1601,tett,nb,29003,,
1602,tykk,nb,29037,,
1603,tynn,nb,29696,,
1604,fast,da,31758,,
1605,flat,en,31984,,
1606,glatt,de,33823,,
1607,hard,en,34342,,
1608,myk,nb,51709,,
1609,bløt,nb,51688,,
1610,rund,de,41888,,
1611,kvass,nb,42370,,
1612,stubb,nb,47612,,
1613,tung,da,44498,,
1614,vakker,nb,43839,,
1615,het,sv,34510,,
1616,varm,da,51119,,
1617,kald,nb,35955,,
1618,kjølig,nb,37196,,
1619,fersk,nb,32506,,
1620,fuktig,sv,31875,,
1621,våt,sv,39287,,
1622,tørr,nb,48515,,
1623,full,en,50583,,
1624,åpen,nb,39962,,
1625,lukket,da,33593,,
1626,skitten,nb,43708,,
1627,rå,da,41576,,
1628,moden,da,41145,,
1629,lekker,nl,37846,,
1630,søt,nb,47666,,
1631,besk,sv,27971,,
1632,bitter,en,27965,,
1633,mørk,da,29629,,
1634,svart,sv,44406,,
1635,hvit,nb,51640,,
1636,rød,da,41630,,
1637,blå,da,28058,,
1638,grønn,nb,34079,,
1639,grå,da,33949,,
1640,broket,nb,28618,,
1641,billig,de,27816,,
1642,verdifull,nb,51972,,
1643,blind,en,28155,,
1644,døv,da,47830,,
1645,kraftig,da,36771,,
1646,sterk,nl,46844,,
1647,svak,nb,44282,,
1648,fet,sv,31811,,
1649,slank,nl,43060,,
1650,slem,da,43370,,
1651,dum,da,29586,,
1652,doven,da,31466,,
1653,flittig,da,32033,,
1654,gjerrig,nb,33117,,
1655,klok,sv,36578,,
1656,hendig,nb,33546,,
1657,skikket,nb,33500,,
1658,kjær,nb,38287,,
1659,snill,nb,38249,,
1660,morsom,nb,38531,,
1661,blid,da,42153,,
1662,sulten,da,35511,,
1663,syk,nb,36834,,
1664,naken,sv,39133,,
1665,sørgmodig,nb,48249,,
1666,levende,da,37756,,
1667,god,en,7834,,
1668,dårlig,da,43108,,
1669,riktig,sv,41470,,
1670,sann,sv,51038,,
1671,gammel,da,24704,,
1672,ny,da,39483,,
1673,forhenværende,da,29860,,
1674,ung,da,35926,,
1675,fattig,da,25487,,
1676,kjent,nb,26866,,
1677,berømt,da,27165,,
1678,fremmed,da,32377,,
1679,forskjellig,nb,50024,,
1680,nær,da,39211,,
1681,fjern,da,31688,,
1682,venstre,da,38412,,
1683,høyre,nb,40737,,
1684,annen,nb,53789,,
1685,første,da,30851,,
1686,tredje,da,29466,,
1687,alene,da,24526,,
1688,med ett,nb,25678,,
1689,sammen,da,53638,,
1690,lenge,nb,37421,,
1691,plutselig,nb,40365,,
1692,straks,da,46320,,
1693,senere,da,46406,,
1694,nå,nb,35866,,
1695,i dag,da,34740,,
1696,i morgen,da,38976,,
1697,snart,da,26393,,
1698,så,da,46265,,
1699,i går,da,33666,,
1700,engang,da,30203,,
1701,den gang,nb,28651,,
1702,deretter,nb,28782,,
1703,før,da,50780,,
1704,i forveien,nb,50825,,
1705,først,da,53234,,
1706,en gang,da,29999,,
1707,somme tider,nb,38713,,
1708,ofte,da,40112,,
1709,alltid,sv,35722,,
1710,aldri,nb,39662,,
1711,her,da,34794,,
1712,hit,en,34387,,
1713,herfra,da,50609,,
1714,der,da,29189,,
1715,rett fram,nb,33426,,
1716,fram,sv,50858,,
1717,framover,nb,50858,,
1718,baklengs,nb,41643,,
1719,tilbake,nb,53403,,
1720,nede,da,49030,,
1721,ned,da,34905,,
1722,nedover,nb,34913,,
1723,oppe,da,39853,,
1724,ovenpå,da,39857,,
1725,opp,nb,35020,,
1726,oppover,nb,35006,,
1727,overalt,da,48660,,
1728,ikke,da,39645,,
1729,litt,nb,30291,,
1730,neppe,nb,36146,,
1731,svært,nb,44831,,
1732,bare,da,39826,,
1733,allerede,da,43888,,
1734,igjen,nb,52098,,
1735,forgjeves,nb,49643,,
1736,foran,da,50692,,
1737,utenfor,nb,50701,,
1738,bak,nb,35192,,
1739,bakom,sv,35192,,
1740,under,en,49096,,
1741,gjennom,nb,29780,,
1742,igjennom,nb,29780,,
1743,ved siden av,nb,39389,,
1744,mellom,nb,53845,,
1745,på grunn av,nb,51509,,
1746,dette,da,29107,,
1747,jeg,da,35638,,
1748,hva,nb,51247,,
1749,hvem,da,51835,,
1750,hvor,da,52376,,
1751,hvor ... hen,nb,52427,,
1752,hvordan,da,52058,,
1753,hvorfor,da,51192,,
1754,hvor mye,nb,52214,,
1755,en,nl,48951,,
1756,ett,sv,30105,,
1757,fire,en,5229,,
1758,fem,da,32706,,
1759,seks,da,44641,,
1760,sju,sv,45940,,
1761,åtte,nb,24429,,
1762,elleve,da,30450,,
1763,tolv,da,53926,,
1764,tjue,nb,53720,,
1765,tretti,nb,29402,,
1766,førti,nb,50517,,
1767,femti,nb,32743,,
1768,seksti,nb,44673,,
1769,sytti,nb,45975,,
1770,åtti,nb,24454,,
1771,nitti,nb,39566,,
1772,hundre,nb,35446,,
1773,tusen,sv,48032,,
1774,eller,da,39944,,
1775,stå,da,46996,,
1776,sitte,nb,46228,,
1777,ligge,da,38394,,
1778,henge,nb,25784,,
1779,bli,sv,33485,,
1780,hende,nb,40198,,
1781,begynne,nb,24913,,
1782,slutte,nb,25898,,
1783,veksle,da,51357,,
1784,stå opp,nb,25963,,
1785,gå ned,da,49114,,
1786,skinne,da,42509,,
1787,tordne,da,29164,,
1788,blåse,nb,28037,,
1789,strømme,da,47532,,
1790,flyte,nb,32119,,
1791,dreie seg,nb,45195,,
1792,svaie,nb,44326,,
1793,svinge,da,44439,,
1794,falle,nb,31191,,
1795,brenne,nb,49425,,
1796,ryke,nb,40556,,
1797,regne,da,40655,,
1798,fryse,da,32452,,
1799,smelte,da,43491,,
1800,tørre,da,48603,,
1801,koke,nb,36673,,
1802,råtne,nb,49589,,
1803,briste,da,41080,,
1804,synke,da,43429,,
1805,synke ned,da,50157,,
1806,forløpe,nb,49687,,
1807,synes,da,53680,,
1808,forsvinne,nb,50074,,
1809,avta,sv,24201,,
1810,minske,nb,24146,,
1811,tilta,nb,53362,,
1812,gro,da,50907,,
1813,vokse,da,50922,,
1814,tindre,da,32790,,
1815,bråke,nb,37495,,
1816,ringe,da,36384,,
1817,klirre,da,36489,,
1818,bruse,da,28329,,
1819,suse,da,42328,,
1820,lyde,da,36430,,
1821,klinge,da,36459,,
1822,gjø,nb,27077,,
1823,bjeffe,nb,27062,,
1824,ule,nb,34672,,
1825,plystre,nb,40261,,
1826,skrike,nb,43939,,
1827,stønne,da,47356,,
1828,dirre,da,53033,,
1829,skjelve,nb,53036,,
1830,leve,da,37713,,
1831,fødes,da,32984,,
1832,ånde,da,25545,,
1833,puste,nb,25573,,
1834,drikke,da,48508,,
1835,spise,da,31071,,
1836,svelge,nb,43433,,
1837,bli trett,nb,39081,,
1838,sovne,nb,30158,,
1839,sove,da,42900,,
1840,våkne,nb,26026,,
1841,bli bra,nb,45279,,
1842,komme seg,nb,33337,,
1843,bli syk,nb,36989,,
1844,være syk,nb,36947,,
1845,gjøre vondt,nb,43542,,
1846,dø,da,47239,,
1847,omkomme,da,48859,,
1848,bevege seg,nb,45109,,
1849,røre på seg,nb,45479,,
1850,reise seg,nb,45243,,
1851,sette sig,nb,45579,,
1852,falle over ende,nb,35093,,
1853,løpe,nb,41307,,
1854,skride,da,44016,,
1855,spasere,nb,46509,,
1856,gå en tur,da,46464,,
1857,skynde seg,nb,45094,,
1858,hoppe,da,46708,,
1859,springe,da,46712,,
1860,klatre,da,36367,,
1861,huske,nb,42478,,
1862,krype,nb,37117,,
1863,svømme,da,44568,,
1864,dykke,da,47876,,
1865,kjøre,nb,31142,,
1866,fly,en,32157,,
1867,gå,da,33082,,
1868,gå bort,da,51551,,
1869,reise,nb,24100,,
1870,stanse,nb,24926,,
1871,gå inn,nb,35064,,
1872,tre inn,nb,30235,,
1873,komme,da,36704,,
1874,ankomme,da,25012,,
1875,komme til,nb,25033,,
1876,komme tilbake,nb,53442,,
1877,forbli,nb,28103,,
1878,vente,da,30979,,
1879,søke,nb,47710,,
1880,finne,nb,31926,,
1881,prøve,nb,50400,,
1882,forsøke,nb,50408,,
1883,forberede,da,50751,,
1884,elske,da,38322,,
1885,like,en,38961,,
1886,røre,da,41821,,
1887,gråte,nb,51734,,
1888,skjelle,nb,42843,,
1889,ergre seg,nb,44961,,
1890,være redd,nb,45401,,
1891,være redd for,nb,32861,,
1892,rømme,nb,32243,,
1893,flykte,nb,32245,,
1894,se på,da,25092,,
1895,betrakte,nb,25088,,
1896,anse,da,25116,,
1897,høre,da,35355,,
1898,tilhøre,nb,53282,,
1899,smake,nb,40530,,
1900,smake på,nb,40530,,
1901,lukte,nb,41505,,
1902,føle,da,32549,,
1903,se ut,nb,42567,,
1904,få vite,nb,49963,,
1905,gjøre,nb,38604,,
1906,avslutte,nb,26588,,
1907,holde opp,nb,25935,,
1908,lykkes,da,33269,,
1909,åpne,nb,40027,,
1910,lukke,da,43312,,
1911,stenge,nb,43302,,
1912,stille,da,47149,,
1913,legge,nb,37940,,
1914,berøre,da,27231,,
1915,forbinde,da,49380,,
1916,dekke,nb,26511,,
1917,henge opp,nb,25784,,
1918,tenne,nb,25321,,
1919,antenne,nb,25306,,
1920,tenne på,nb,25321,,
1921,løfte,da,35313,,
1922,ta opp,nb,25867,,
1923,slippe tilbake,nb,53533,,
1924,miste,da,49887,,
1925,droppe,da,31209,,
1926,la falle,nb,31207,,
1927,lage,nb,53110,,
1928,fremstille,da,34611,,
1929,bygge,da,26466,,
1930,reparere,da,41352,,
1931,rette,da,49330,,
1932,forbedre,da,49303,,
1933,forandre,nb,24868,,
1934,bøye,nb,27746,,
1935,dreie,nb,29294,,
1936,vende,da,51785,,
1937,snu,nb,48826,,
1938,heve,nb,34467,,
1939,gripe,nb,40140,,
1940,få tak i,nb,30609,,
1941,holde,da,34254,,
1942,trykke,da,29519,,
1943,skyve,nb,42743,,
1944,klø,da,37063,,
1945,klore,nb,37088,,
1946,slikke,da,37801,,
1947,bite,en,26850,,
1948,rive av,nb,24234,,
1949,skjære av,nb,24320,,
1950,binde,da,27878,,
1951,stikke,da,46920,,
1952,bryte,nb,28400,,
1953,banke,da,36543,,
1954,hogge,nb,34407,,
1955,klistre,da,36210,,
1956,gni,nb,40909,,
1957,stryke,nb,47458,,
1958,slipe,nb,43175,,
1959,klippe,da,43730,,
1960,ruske,da,41965,,
1961,riste,nb,44106,,
1962,fylle,nb,32649,,
1963,vikle inn,nb,30409,,
1964,bære,da,48223,,
1965,slepe,nb,43209,,
1966,dra,sv,52999,,
1967,trekke,nb,52994,,
1968,oppbevare,nb,25603,,
1969,ta vare på,nb,25602,,
1970,fange,da,31363,,
1971,gripe tak i,nb,40145,,
1972,gjemme,nb,49249,,
1973,sende,da,42704,,
1974,bringe,da,28538,,
1975,tilføye,nb,35251,,
1976,få,da,30679,,
1977,velge,nb,50980,,
1978,velge ut,nb,26135,,
1979,bevare,da,27678,,
1980,hindre,da,26755,,
1981,forhindre,da,26755,,
1982,ødelegge,nb,52948,,
1983,brekke i stykker,nb,52793,,
1984,rive i stykker,nb,52846,,
1985,brenne opp,nb,49425,,
1986,gi,nb,32960,,
1987,forære,da,42616,,
1988,skjenke,nb,42661,,
1989,love,en,38354,,
1990,rose,da,38477,,
1991,kysse,da,37297,,
1992,dekke til,nb,53165,,
1993,vekke,nb,51412,,
1994,føre,da,32622,,
1995,lære,da,38128,,
1996,undervise,da,49164,,
1997,oppdra,nb,26080,,
1998,lede,da,38076,,
1999,drive på,nb,25180,,
2000,få til å,nb,37570,,
2001,invitere,da,29983,,
2002,forene,da,49535,,
2003,besøke,nb,27445,,
2004,møte,nb,48344,,
2005,treffe,nb,48319,,
2006,forsamles,da,45804,,
2007,leke,nb,46539,,
2008,spille,da,46575,,
2009,synge,da,46116,,
2010,danse,da,47771,,
2011,skilles,da,45659,,
2012,forlate,nb,49884,,
2013,redde,da,41379,,
2014,bevokte,nb,27598,,
2015,verne,nb,44215,,
2016,beskytte,da,44226,,
2017,forsvare,da,50429,,
2018,slåss,sv,45551,,
2019,skyte,nb,42792,,
2020,ergre,nb,25433,,
2021,sparke,da,48470,,
2022,støte,nb,47255,,
2023,stjele,nb,47042,,
2024,forstyrre,da,47402,,
2025,plage,nb,27007,,
2026,sjenere,nb,27019,,
2027,villede,da,47982,,
2028,bedra,sv,27501,,
2029,drepe,nb,48150,,
2030,arbeide,nb,25389,,
2031,samle,da,42071,,
2032,plukke,da,40329,,
2033,jage,da,35800,,
2034,fiske,da,31954,,
2035,vokte,nb,35617,,
2036,drive,en,48400,,
2037,feste,nb,24759,,
2038,fore,nb,32884,,
2039,melke,nb,38793,,
2040,hakke,da,34185,,
2041,modne,da,41187,,
2042,tilberede,da,53114,,
2043,bake,en,26259,,
2044,steke,nb,28321,,
2045,røre om,da,48941,,
2046,strikke,da,47485,,
2047,rense,da,41252,,
2048,gjøre ren,nb,41220,,
2049,vaske,da,51315,,
2050,tørke av,nb,24344,,
2051,spyle,nb,46791,,
2052,skylle,da,46767,,
2053,feie,nb,31556,,
2054,koste,nb,36199,,
2055,bade,da,26300,,
2056,vaske seg,nb,45857,,
2057,ta av,sv,26195,,
2058,ta på,sv,25281,,
2059,kle på seg,nb,44944,,
2060,gre,nb,35999,,
2061,kjemme,nb,36009,,
2062,pynte,da,43632,,
2063,smykke,da,43606,,
2064,snakke,da,40775,,
2065,spørre,nb,32341,,
2066,fortelle,nb,31000,,
2067,meddele,da,38876,,
2068,rope,nb,41787,,
2069,skryte,nb,40491,,
2070,oversette,nb,48733,,
2071,tenke,nb,28924,,
2072,bemerke,nb,27144,,
2073,legge merke til,nb,27107,,
2074,gjenkjenne,nb,30738,,
2075,begripe,nb,26701,,
2076,forstå,da,50339,,
2077,skjønne,nb,50331,,
2078,vite,nb,52310,,
2079,huske på,da,45359,,
2080,glemme,da,49756,,
2081,måle,da,38836,,
2082,telle,nb,52648,,
2083,lese,nb,38147,,
2084,male,da,38652,,
2085,tegne,da,52706,,
2086,skrive,da,43907,,
2087,eie,nb,27384,,
2088,inneha,nb,27343,,
2089,kjøpe,nb,36039,,
2090,selge,nb,49794,,
2091,betale,da,52626,,
2092,beherske,da,26710,,
2093,orke,nb,30889,,
2094,öga,sv,1141,,
2095,öra,sv,15625,,
2096,näsa,sv,15111,,
2097,tand,nl,23689,,
2098,läpp,sv,13175,,
2099,ansikte,sv,7276,,
2100,mustasch,sv,18599,,
2101,skägg,sv,1408,,
2102,käke,sv,10711,,
2103,nacke,sv,6844,,
2104,huvud,sv,11434,,
2105,navel,en,14777,,
2106,bröst,sv,2593,,
2107,skuldra,sv,18805,,
2108,armbåge,sv,3996,,
2109,hand,en,40997,,
2110,handflata,sv,8682,,
2111,fingernagel,sv,5417,,
2112,nagel,nl,14958,,
