ID_1	cognate_1	language_1	cognateID_results_1	cognateID_wiki_1	borrowed_1	pgmc_forms_results_1	pgmc_forms_wiki_1		ID_2	cognate_2	language_2	cognateID_results_2	cognateID_wiki_2	borrowed_2	pgmc_forms_results_2	pgmc_forms_wiki_2
401	comb	en	36009	false	*kamba-		403	kämmen	de	36009	false	*kamjan-
401	comb	en	36009	false	*kamba-		403	kämmen	de	36009	false	*kamjan-
426	cool	en	37196	false	*kōlu-		426	cool	en	37196	false	*kōlu-
426	cool	en	37196	false	*kōlu-		428	kühl	de	37196	false	*kōlu-
444	kiss	en	37297	false	*kussjan-		444	kiss	en	37297	false	*kussjan-
444	kiss	en	37297	false	*kussjan-		446	küssen	de	37297	false	*kussjan-
449	lay	en	37940	false	*lagjan-		449	lay	en	37940	false	*lagjan-
449	lay	en	37940	false	*lagjan-		449	lay	en	37940	false	*lagjan-
449	lay	en	37940	false	*lagjan-		451	legen	de	37940	false	*lagjan-
449	lay	en	37940	false	*lagjan-		449	lay	en	37940	false	*lagjan-
449	lay	en	37940	false	*lagjan-		451	legen	de	37940	false	*lagjan-
454	leave	en	49875	false	*līban-		454	leave	en	49875	false	*līban-
455	lead	en	38076	false	*laidjan-		455	lead	en	38076	false	*laidjan-
455	lead	en	38076	false	*laidjan-		464	lead	en	38076	false	*lauda-
455	lead	en	38076	false	*laidjan-		457	leiten	de	38076	false	*laidjan-
455	lead	en	38076	false	*laidjan-		464	lead	en	38076	false	*lauda-
457	leiten	de	38076	false	*laidjan-		464	lead	en	38076	false	*lauda-
464	lead	en	38076	false	*lauda-		464	lead	en	38076	false	*lauda-
459	lecken	de	37793	false	*lakjan-		459	lecken	de	37793	false	*lakjan-
459	lecken	de	37793	false	*lakjan-		486	lick	en	37793	false	*likkōn-
459	lecken	de	37793	false	*lakjan-		488	lecken	de	37793	false	*likkōn-
459	lecken	de	37793	false	*lakjan-		488	lecken	de	37793	false	*likkōn-
486	lick	en	37793	false	*likkōn-		488	lecken	de	37793	false	*likkōn-
488	lecken	de	37793	false	*likkōn-		488	lecken	de	37793	false	*likkōn-
461	land	en	5118	false	*landa-		461	land	en	5118	false	*landa-
465	lie	en	38394	false	*leg(j)an-		465	lie	en	38394	false	*leg(j)an-
465	lie	en	38394	false	*leg(j)an-		465	lie	en	38394	false	*leg(j)an-
465	lie	en	38394	false	*leg(j)an-		467	liegen	de	38394	false	*leg(j)an-
465	lie	en	38394	false	*leg(j)an-		476	lie	en	38394	false	*leugan-
465	lie	en	38394	false	*leg(j)an-		476	lie	en	38394	false	*leugan-
465	lie	en	38394	false	*leg(j)an-		465	lie	en	38394	false	*leg(j)an-
